id,status,bikes,docks,month,day,hours,minutes
1,1,6,30,10,13,11,4
1,1,6,30,10,13,10,54
1,1,6,30,10,13,10,44
1,1,8,28,10,13,13,34
1,1,7,29,10,13,16,49
1,1,1,35,10,14,0,49
1,1,1,35,10,14,0,34
1,1,1,35,10,14,1,14
1,1,1,35,10,14,4,44
1,1,1,35,10,14,4,54
1,1,17,19,10,14,7,44
1,1,19,17,10,14,7,34
1,1,13,23,10,14,10,39
1,1,14,22,10,14,10,19
1,1,15,21,10,14,10,9
1,1,14,22,10,14,13,44
1,1,14,22,10,14,13,29
1,1,14,22,10,14,13,14
1,1,0,36,10,3,16,24
1,1,0,36,10,3,16,44
1,1,0,36,10,3,19,19
1,1,0,36,10,3,19,54
1,1,0,36,10,3,22,29
1,1,0,36,10,3,23,59
1,1,0,36,10,4,0,4
1,1,0,36,10,4,0,24
1,1,0,36,10,4,0,9
1,1,23,13,10,4,7,44
1,1,23,13,10,4,9,29
1,1,23,13,10,4,8,49
1,1,21,15,10,4,12,24
1,1,21,15,10,4,12,34
1,1,19,17,10,4,15,44
1,1,19,17,10,4,16,4
1,1,7,29,10,4,21,39
1,1,7,29,10,4,21,34
1,1,2,34,10,5,0,24
1,1,2,34,10,5,3,14
1,1,2,34,10,5,3,44
1,1,14,22,10,5,6,24
1,1,15,21,10,5,9,34
1,0,15,21,10,5,9,39
1,1,15,21,10,5,9,24
1,1,16,20,10,5,11,59
1,1,13,23,10,5,14,34
1,1,13,23,10,5,14,24
1,1,13,23,10,5,14,29
1,1,15,21,10,5,17,34
1,1,18,18,10,5,20,54
1,1,18,18,10,5,20,34
1,1,20,16,10,5,23,34
1,1,21,15,10,6,3,19
1,1,21,15,10,6,3,4
1,1,21,15,10,6,6,24
1,1,21,15,10,6,6,14
1,1,21,15,10,6,8,59
1,1,22,14,10,6,12,24
1,1,21,15,10,6,15,34
1,1,21,15,10,6,15,29
1,1,21,15,10,6,17,29
1,1,21,15,10,6,17,9
1,1,19,17,10,6,21,34
1,1,19,17,10,6,21,9
1,1,19,17,10,6,20,59
1,1,15,21,10,7,0,29
1,1,15,21,10,6,23,54
1,1,15,21,10,7,2,54
1,1,15,21,10,7,3,24
1,1,14,22,10,7,5,54
1,1,30,6,10,7,9,9
1,1,30,6,10,7,9,24
1,1,23,13,10,7,12,14
1,1,20,16,10,7,11,54
1,1,23,13,10,7,12,24
1,1,21,15,10,7,11,59
1,1,8,28,10,7,15,24
1,1,15,21,10,7,14,44
1,1,10,26,10,7,15,14
1,1,14,22,10,7,14,59
1,1,0,36,10,7,20,24
1,1,0,36,10,7,20,34
1,1,0,36,10,7,20,29
1,1,0,36,10,7,20,19
1,1,1,35,10,7,19,59
1,1,1,35,10,7,20,9
1,1,0,36,10,7,22,54
1,1,0,36,10,8,3,14
1,1,0,36,10,8,2,44
1,1,1,35,10,8,5,44
1,1,0,36,10,8,5,34
1,1,17,19,10,8,8,34
1,1,17,19,10,8,8,54
1,1,13,23,10,8,12,14
1,1,13,23,10,8,11,34
1,1,20,16,10,8,13,49
1,1,20,16,10,8,14,14
1,1,0,36,10,8,19,49
1,1,0,36,10,8,20,14
1,1,0,36,10,8,22,54
1,1,0,36,10,9,1,44
1,1,0,36,10,9,2,4
1,1,7,29,10,9,5,9
1,1,20,16,10,9,7,44
1,1,22,14,10,9,8,14
1,1,22,14,10,9,8,19
1,1,20,16,10,9,11,4
1,1,19,17,10,9,11,19
1,1,2,34,10,9,16,49
1,1,0,36,10,9,19,59
1,1,0,36,10,9,20,4
1,1,0,36,10,9,20,9
1,1,0,36,10,9,19,49
1,1,0,36,10,9,22,59
1,1,0,36,10,9,22,54
1,1,0,36,10,10,1,49
1,1,0,36,10,10,1,59
1,1,0,36,10,10,4,29
1,1,0,36,10,10,4,59
1,1,19,17,10,10,7,49
1,1,19,17,10,10,7,44
1,1,19,17,10,10,7,39
1,1,19,17,10,10,7,59
1,1,18,18,10,10,11,34
1,1,18,18,10,10,11,39
1,1,17,19,10,10,14,14
1,1,1,35,10,10,16,54
1,1,0,36,10,10,17,4
1,1,0,36,10,10,17,29
1,1,0,36,10,10,20,24
1,1,0,36,10,10,22,34
1,1,0,36,10,11,1,4
1,1,0,36,10,11,1,14
1,1,0,36,10,11,0,59
1,1,0,36,10,11,3,59
1,1,7,29,10,11,4,34
1,1,33,3,10,11,7,34
1,1,32,4,10,11,8,9
1,1,13,23,10,11,16,44
1,1,12,24,10,11,16,19
1,1,13,23,10,11,18,29
1,1,11,25,10,11,18,49
1,1,13,23,10,11,18,39
1,1,7,29,10,11,22,19
1,1,3,33,10,12,1,9
1,1,3,33,10,12,1,19
1,1,3,33,10,12,1,39
1,1,5,31,10,12,4,9
1,1,11,25,10,12,10,14
1,1,10,26,10,12,13,39
1,1,10,26,10,12,13,29
1,1,10,26,10,12,13,24
1,1,10,26,10,12,15,54
1,1,10,26,10,12,15,39
1,1,5,31,10,12,18,14
1,1,5,31,10,12,18,44
1,1,5,31,10,12,18,24
1,1,5,31,10,12,20,29
1,1,5,31,10,12,20,49
1,1,5,31,10,12,21,9
1,1,5,31,10,12,23,29
1,1,5,31,10,12,23,49
1,1,8,28,10,13,3,9
1,1,8,28,10,13,6,44
1,1,6,30,10,13,9,29
1,1,8,28,10,13,12,39
1,1,8,28,10,13,12,14
1,0,7,29,10,13,15,24
1,1,7,29,10,13,15,19
1,1,7,29,10,13,15,14
1,0,7,29,10,13,15,34
1,1,7,29,10,13,15,44
1,1,7,29,10,13,15,39
1,1,3,33,10,13,18,4
1,1,2,34,10,13,21,9
1,1,1,35,10,14,2,34
1,1,1,35,10,14,2,29
1,1,2,34,10,14,6,4
1,1,17,19,10,14,8,4
1,1,17,19,10,14,8,14
1,1,7,29,10,14,15,54
1,1,14,22,10,3,14,59
1,1,0,36,10,3,18,19
1,1,0,36,10,3,21,19
1,1,0,36,10,4,0,39
1,1,0,36,10,4,0,44
1,1,0,36,10,4,1,14
1,1,0,36,10,4,1,4
1,1,0,36,10,4,3,14
1,1,7,29,10,4,6,19
1,1,8,28,10,4,6,4
1,1,21,15,10,4,10,29
1,1,20,16,10,4,10,34
1,1,20,16,10,4,11,49
1,1,21,15,10,4,11,59
1,1,18,18,10,4,14,49
1,1,19,17,10,4,15,19
1,1,19,17,10,4,15,9
1,1,13,23,10,4,18,4
